X,Y,id,local,X,Y,Categoria,icon_url
-45.9699718680524,-20.4600485623757,,CMEI Lola Luiza da Silva,,,Educação,./0.png
-45.9689418681332,-20.4622619358534,,Complexo do Curumim,,,Saúde,./1.png
-45.9678941532277,-20.4588322010757,,Supermercado BH,,,Supermercado,./2.png
-45.965054693991,-20.4592684799209,,CMEI Francisca Luzia de Faria,,,Educação,./0.png
-45.9630098784266,-20.4582062336112,,Supermercado Tuiuti,,,Supermercado,./2.png
-45.9572525078709,-20.4583722100814,,IFMG Piumhi,,,Educação,./0.png
-45.9580901736528,-20.4582157179857,,Poliesportivo,,,Esportes,./3.png
-45.9578700016799,-20.4575921191118,,Pérola Negra Center,,,Comércio e Serviços,./4.png
-45.9482279876943,-20.4620402442861,,JDE,,,Indústria,./5.png
-45.9442497079081,-20.4653786245943,,AABB,,,Esportes,./3.png
-45.9476560467072,-20.4690607169815,,Canex,,,Indústria,./5.png
-45.9484861203522,-20.4691223610476,,Concretudo,,,Indústria,./5.png
-45.9573992891862,-20.4870929213143,,Bretão Boots,,,Indústria,./5.png
-45.9604412054095,-20.4803269442442,,EE Prof. Horta,,,Educação,./0.png
-45.9642727038804,-20.4763298042482,,EE Prof. João Menezes,,,Educação,./0.png
-45.9686356519411,-20.4804502233003,,Projeto Abrindo Caminhos,,,Educação,./0.png
-45.9659847307731,-20.475311536343,,UBS Bossuet Costa,,,Saúde,./1.png
-45.9616420284111,-20.4678716929391,,Caixa Econômica Federal,,,Comércio e Serviços,./4.png
-45.9627352961386,-20.4684596860394,,EM Josino Alvim,,,Educação,./0.png
-45.9621228637542,-20.4678147902615,,Correios,,,Comércio e Serviços,./4.png
-45.9613889571779,-20.4675018251576,,Banco do Brasil,,,Bancos,./6.png
-45.9638538709894,-20.467992611059,,SICOOB Credifor,,,Bancos,./6.png
-45.9645270404698,-20.4671058759678,,SICOOB Credialto,,,Bancos,./6.png
-45.964886401621,-20.4655926056578,,EM Dr. Avelino de Queiroz,,,Educação,./0.png
-45.9658050501976,-20.4681141218189,,Casa dos Velhinhos,,,Comércio e Serviços,./4.png
-45.9613813650409,-20.4844158443128,,Cruz do Monte,,,Ponto Turístico,./7.png
-45.9643676055929,-20.4794373169648,,EM Dona Lidinha,,,Educação,./0.png
-45.9522809234944,-20.4673980960524,,Rodoviária de Piumhi,,,Comércio e Serviços,./4.png
-45.958152176105,-20.4557041165906,,CMEI André Mourão,,,Educação,./0.png
-45.9573625938574,-20.4542138526868,,Secretaria Municipal de Educação,,,Comércio e Serviços,./4.png
-45.9712966959584,-20.4523690827544,,EM Dep. Eurípedes Craide,,,Educação,./0.png
-45.9683332318174,-20.4520750556799,,Fórum de Piumhi,,,Comércio e Serviços,./4.png
-45.9611118441775,-20.4682836439865,,Prefeitura Municipal de Piumhi,,,Comércio e Serviços,./4.png
-45.9619482446033,-20.4680086149207,,Prefeitura Municipal de Piumhi,,,Comércio e Serviços,./4.png
-45.9607664019442,-20.4690435277663,,Bradesco,,,Bancos,./6.png
-45.9603867950944,-20.4690150766474,,Itaú,,,Bancos,./6.png
-45.9629681216732,-20.4715519473599,,Colégio Losango,,,Educação,./0.png
-45.9529465008378,-20.4669974046793,,Instituto Perfil de Educação,,,Educação,./0.png
-45.9617584411785,-20.469984782646,,Praça Padre Alberico,,,Comércio e Serviços,./4.png
-45.9623151978915,-20.4694536974789,,Stalo Supermercado,,,Supermercado,./2.png
-45.9609941660541,-20.4709864896223,,INSS,,,Comércio e Serviços,./4.png
-45.9588266109416,-20.4718127447759,,Stalo Supermercado,,,Supermercado,./2.png
-45.9588645716266,-20.4723343382784,,Feira Livre,,,Comércio e Serviços,./4.png
-45.972991736756,-20.4486923131864,,Hangar Prefeitura Municipal,,,Hangar,./8.png
-45.9504890370056,-20.4618399178622,,CMEI Luis Maria da Silva,,,Educação,./0.png
-45.9474314828476,-20.469304090316,,EM Ludgero Lima Arantes,,,Educação,./0.png
-45.9562022684878,-20.4745177866227,,EM Cel. Fidélis,,,Educação,./0.png
-45.9551650658987,-20.4742242273472,,EM Laura Mota,,,Educação,./0.png
-45.9557056019912,-20.4741743222145,,PSF João Guilherme Alves TÓ,,,Saúde,./1.png
-45.9714814220362,-20.4714596053238,,EM Lourdes Ferraz,,,Educação,./0.png
-45.9718315954178,-20.4711491601867,,CMEI Nolvina R Alvarenga,,,Educação,./0.png
-45.9689738045983,-20.4718052775392,,PSF Inhô Firmino,,,Saúde,./1.png
-45.9574956381816,-20.469857833782,,Santa Casa de Misericórdia de Piumhi,,,Saúde,./1.png
-45.9575872943017,-20.4708409161667,,Pronto Socorro,,,Saúde,./1.png
-45.9584731689518,-20.4666714880259,,Secretaria Municipal de Saúde,,,Saúde,./1.png
-45.9612424371938,-20.4670223085576,,UBS José Martins de Faria,,,Saúde,./1.png
-45.9626337300928,-20.4665804800583,,Central Municipal de Vacinação,,,Saúde,./1.png
-45.9686610992172,-20.4653092986127,,PSF Sudário,,,Saúde,./1.png
-45.9688679130265,-20.464860125747,,UBS Sudário,,,Saúde,./1.png
-45.949790905889,-20.4600747384827,,UBS Maria Rezende Oliveira,,,Saúde,./1.png
-45.9506056269559,-20.4599984059437,,EM Acácio da Costa Lopes,,,Educação,./0.png
-45.9647050017285,-20.459020758917,,PSF Dona Tina,,,Saúde,./1.png
-45.9594210655778,-20.4723564433039,,EE José Vicente,,,Educação,./0.png
-45.9592925903326,-20.472990538353,,Cesec,,,Educação,./0.png
-45.970419799982,-20.4774937120734,,CMEI Dercy Alves Praça,,,Educação,./0.png
-45.969655215596,-20.4765249831211,,Ciame,,,Educação,./0.png
-45.9591108448638,-20.4672835886001,,Mackenzie,,,Educação,./0.png
-45.9650802434507,-20.4652491153965,,Apae,,,Educação,./0.png
-45.9642766194871,-20.4584944774244,,Mercearia do Peixe,,,Comércio e Serviços,./4.png
-45.9651548889271,-20.4586355413289,,PHD Laboratório de Análises Clínicas,,,Saúde,./1.png
-45.9603557737728,-20.4574776379465,,Lotérica Nova Esperança,,,Comércio e Serviços,./4.png
-45.9571751837294,-20.4711515081609,,Supermercado Tuiuti,,,Supermercado,./2.png
-45.956914839574,-20.4706805983223,,Clínicas Dr. Atende,,,Saúde,./1.png
-45.9570951984769,-20.4707085150145,,Centro Médico,,,Saúde,./1.png
-45.9566654737866,-20.4706776597228,,Clínicas Médicas,,,Saúde,./1.png
-45.9578668209134,-20.4708201817324,,Clínica Médica Dr. Wallace Costa Mota,,,Saúde,./1.png
-45.95896779439,-20.4706350500241,,Clínica de Olhos Dr. Roberto Santos,,,Saúde,./1.png
-45.9588721257546,-20.4706365193243,,Unimed Piumhi,,,Saúde,./1.png
-45.9581648051877,-20.4688689410731,,Clínica WS Médicos Associados,,,Saúde,./1.png
-45.9580738415672,-20.4685574455394,,Clínica Dr. César,,,Saúde,./1.png
-45.9582275387192,-20.4690981543641,,PHD Hospital Dia,,,Saúde,./1.png
-45.9570167815626,-20.4686074024129,,Clínica São Rafael,,,Saúde,./1.png
-45.9570716734026,-20.4686220956078,,Lab. Selma Lopes,,,Saúde,./1.png
-45.9570638317111,-20.469718203987,,Clínicas Médicas,,,Saúde,./1.png
-45.9568803361317,-20.4701185901496,,Lab. Bioanálise,,,Saúde,./1.png
-45.9579287702757,-20.4708069580464,,Lab. Costa Mota,,,Saúde,./1.png
-45.9771175335636,-20.4582073157758,,Piumhi Tênis Clube,,,Esportes,./3.png
-45.9589904847642,-20.4659841243771,,Praça Dr. Avelino de Queiroz,,,Ponto Turístico,./7.png
-45.9563840984869,-20.4587158174719,,Estátua Tatá Tomé,,,Ponto Turístico,./7.png
-45.9728026850824,-20.4619486084037,,Cemitério da Saudade,,,Comércio e Serviços,./4.png
-45.973367456188,-20.4638765606517,,CH Geraldo Sansoni,,,EHIS,./9.png
-45.9670003607134,-20.4594997807889,,CH José Neca da Costa,,,EHIS,./9.png
-45.966515818148,-20.4525153413025,,CH Vicente de Paulo Faria Segundo,,,EHIS,./9.png
-45.9737067834954,-20.4704228848424,,CH Arlindo Soares Barbosa,,,EHIS,./9.png
-45.9702500300832,-20.4816016958798,,CH Dona Nica,,,EHIS,./9.png
-45.9687166412133,-20.4762382512501,,CH Sundário Justino,,,EHIS,./9.png
-45.9472599642414,-20.4627918559272,,Supermercado ABC,,,Supermercado,./2.png
